name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Novaeria Blue Hangar Lights Middle Section 1,uaf_novaeria_supercap_hangar_mid_section_lights_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Novaeria Rear Hangar Lights 1,uaf_novaeria_supercap_rear_hangar_light_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novaeria Blue Hangar Lights Middle Section 2,uaf_novaeria_supercap_hangar_light_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Novaeria Left Red Hangar Light 2,uaf_novaeria_supercap_left_red_hangar_light_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Novaeria Right Red Hangar Light 2,uaf_novaeria_supercap_right_red_hangar_light_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Novaeria Left Blue Hangar Light 2,uaf_novaeria_supercap_left_blue_hangar_light_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Novaeria Right Blue Hangar Light 2,uaf_novaeria_supercap_right_blue_hangar_light_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novaeria Red Hangar Lights Middle Section 3,uaf_novaeria_supercap_hangar_light_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
#Novaeria Masts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novaeria Mast,uaf_novaeria_supercap_mast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Novaeria Mast Radar,uaf_novaeria_supercap_mast_radar,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
#Novaeria Radar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novaeria EWAC Radar,uaf_novaeria_supercap_ewac_radar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Novaeria Radar Dome One,uaf_novaeria_supercap_radar_dome,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Novaeria Radar Dome Two,uaf_novaeria_supercap_radar_dome_two,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Novaeria Radar Dome Three,uaf_novaeria_supercap_radar_dome_three,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
#Weapon Roof Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novaeria Weapon Cover Left,uaf_novaeria_supercap_roof_cover_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Novaeria Weapon Cover Right,uaf_novaeria_supercap_roof_cover_right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
#Engine-Reactor Lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novaeria Engine Reactor,uaf_novaeria_supercap_engine_reactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Constelyria (SBR) Decoratives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constelyria Hangar Lights 1,uaf_sbr_constelyria_hangar_light_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Constelyria Hangar Lights 2,uaf_sbr_constelyria_hangar_light_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Constelyria Hangar Lights 3,uaf_sbr_constelyria_hangar_light_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Frequency Shield,uaf_frequency_barrier,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
A.N.G.E.L System,uaf_angel_system,0,,0,1500,,500,,90,,,,,,HIGH_EXPLOSIVE,0,,0,,12,0.1,10,50,5,,,100,100,10,150,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,Suppression,,,,,,fragmentation | missiles | concentrated defensive fire,,,,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ularaya System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selemene MSM Launcher (Special),uaf_selemene_sys_ularaya,5,,10000,2000,,250,600,15,50,8,,0.04,,ENERGY,0,,0,5,3,0.2,0,0,0,,,420,50,15,250,"SYSTEM, STRIKE, DO_NOT_CONSERVE, DO_NOT_AIM","no_drop, no_drop_salvage, restricted",,United Aurora Federation,,Disruptive Missile,Fast,Excellent,,,Excellent for disabling enemy weapons and modules.,weapons and modules,,,TRUE,12.2
Minibreve Launcher (Special),uaf_minibreve_sys_ularaya,5,,10000,2000,,3000,,150,50,8,,0.04,,ENERGY,0,,0,5,1,,0,0,0,,,325,25,18,500,"SYSTEM, STRIKE, USE_VS_FRIGATES, DO_NOT_AIM","no_drop, no_drop_salvage, restricted",STRIKE,United Aurora Federation,,Strike Cruise Missile (WMD),Medium,Medium,Poor,,"Cruise missile with low-yield nuclear warhead, it only deals single damage burst at much smaller area compared to Semibreve. Perfect to finish off small to medium targets.",single damage burst | small to medium targets,,,TRUE,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Procastria Glow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procastria Glow Effect,uaf_procastria_glow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Sentry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentry Cannon Muzzle Left,uaf_sentry_rail_cannon_muzzle_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,,,,,,,,,,,,
Sentry Cannon Muzzle Right,uaf_sentry_rail_cannon_muzzle_right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,,,,,,,,,,,,
Sentry Cannon Light 01,uaf_sentry_rail_cannon_light_one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,,,,,,,,,,,,
Sentry Cannon Light 02,uaf_sentry_rail_cannon_light_two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,,,,,,,,,,,,
Sentry Cannon Light 03,uaf_sentry_rail_cannon_light_three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,,,,,,,,,,,,
Sentry Cannon Light 04,uaf_sentry_rail_cannon_light_four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,,,,,,,,,,,,
Sentry Cannon Light 05,uaf_sentry_rail_cannon_light_five,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,,,,,,,,,,,,
Sentry Cannon Light 06,uaf_sentry_rail_cannon_light_six,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,,,,,,,,,,,,
Sentry Cannon Light 07,uaf_sentry_rail_cannon_light_seven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,,,,,,,,,,,,
Sentry Cannon Light 08,uaf_sentry_rail_cannon_light_eight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,,,,,,,,,,,,
Sentry Engine Reactor,uaf_sentry_engine_reactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,,,,,,,,,,,,
Sentry CY Ejection Light,uaf_sentry_cy_ejection_light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,,,,,,,,,,,,
Sentry M Ejection Light,uaf_sentry_m_ejection_light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Mooparia Decoratives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mooparia Bridge,uaf_mooparia_bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Mooparia Lights 1,uaf_mooparia_lights_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Mooparia Cut Lights 2,uaf_mooparia_cut_lights_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Mooparia Lights 2,uaf_mooparia_lights_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Mooparia Lights 3,uaf_mooparia_lights_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Mooparia Engine Reactor,uaf_mooparia_engine_reactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
#Mooparia Module Decoratives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mooparia Module Lights 3,uaf_mooparia_module_lights_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
#Anti Clipping Blinkers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mooparia Vertical Blinkers #0,uaf_mooparia_blinker_forward_vertical_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Mooparia Vertical Blinkers #1,uaf_mooparia_blinker_forward_vertical_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Mooparia Vertical Blinkers #2,uaf_mooparia_blinker_forward_vertical_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Black Sorceress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Sorceress Spell Circle 1,uaf_black_sorceress_spell_circle_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Black Sorceress Spell Circle 2,uaf_black_sorceress_spell_circle_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Black Sorceress Glow Effect,uaf_black_sorceress_glow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#New Isenoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isenoria Large Landing Circle Light,uaf_isenoria_landing_pad_light_circle_large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Isenoria Small Landing Circle Light,uaf_isenoria_landing_pad_light_circle_small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Isenoria Landing Arrow 1,uaf_isenoria_landing_arrow_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Isenoria Landing Arrow 2,uaf_isenoria_landing_arrow_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Isenoria Landing Arrow 3,uaf_isenoria_landing_arrow_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Rafflesya Dock,uaf_rafflesya_anchor,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,43
Drone Bay,uaf_drone_bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#LYNX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynx Blank Deco01,uaf_lynx_blank_deco01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,,,,,,,,,,,,
Lynx Blank Deco02,uaf_lynx_blank_deco02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,,,,,,,,,,,,
Lynx Blank Deco03,uaf_lynx_blank_deco03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,,,,,,,,,,,,
Lynx Blank Deco04,uaf_lynx_blank_deco04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
